ano;classificacao_do_filme;diretor;duracao;imdb_link;nome;nota;popularidade_score;popularidade_tendencia;poster_link;sinopse
2021;Not rated;Rob Jabbaz;1h 39m;https://www.imdb.com/title/tt13872248/;The Sadness;6.5;71;popularity-up;https://www.imdb.com/title/tt13872248/mediaviewer/rm76215809/?ref_=tt_ov_i;A young couple trying to reunite amid a city ravaged by a plague that turns its victims into deranged, bloodthirsty sadists.
2022;Not rated;Debbie D'Souza;1h 29m;https://www.imdb.com/title/tt18924506/;2000 Mules;6.8;73;popularity-dow;https://www.imdb.com/title/tt18924506/mediaviewer/rm2931102209/?ref_=tt_ov_i;"""2000 Mules,"" a documentary film created by Dinesh D'Souza, exposes widespread, coordinated voter fraud in the 2020 election, sufficient to change the overall outcome."
1994;R;Frank Darabont;2h 22m;https://www.imdb.com/title/tt0111161/;The Shawshank Redemption;9.3;74;popularity-dow;https://www.imdb.com/title/tt0111161/mediaviewer/rm10105600/?ref_=tt_ov_i;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
2021;PG;Garth Jennings;1h 50m;https://www.imdb.com/title/tt6467266/;Sing 2;7.4;72;popularity-dow;https://www.imdb.com/title/tt6467266/mediaviewer/rm3770805761/?ref_=tt_ov_i;Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
2022;R;Machine Gun Kelly;1h 33m;https://www.imdb.com/title/tt15331186/;Good Mourning;3.7;70;popularity-up;https://www.imdb.com/title/tt15331186/mediaviewer/rm3880656641/?ref_=tt_ov_i;Follows London Clash, a movie star whose world is turned upside down when he must choose between pursuing his one true love and landing a life-changing, starring role in a major motion picture.
2015;TV-MA;Gaspar Noé;2h 15m;https://www.imdb.com/title/tt3774694/;Love;6.0;68;popularity-up;https://www.imdb.com/title/tt3774694/mediaviewer/rm626325248/?ref_=tt_ov_i;Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.
2019;PG-13;Anthony Russo;3h 1m;https://www.imdb.com/title/tt4154796/;Avengers: Endgame;8.4;67;popularity-dow;https://www.imdb.com/title/tt4154796/mediaviewer/rm2775147008/?ref_=tt_ov_i;After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.
2021;R;Paul Thomas Anderson;2h 13m;https://www.imdb.com/title/tt11271038/;Licorice Pizza;7.3;69;popularity-up;https://www.imdb.com/title/tt11271038/mediaviewer/rm3994608129/?ref_=tt_ov_i;The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.
2022;R;Jesse Harris;1h 42m;https://www.imdb.com/title/tt12676006/;Borrego;5.4;66;popularity-up;https://www.imdb.com/title/tt12676006/mediaviewer/rm371843329/?ref_=tt_ov_i;Borrego follows a young botanist who relocates to a small desert town to study an invasive plant species. She must fight for her survival when she's kidnapped by an inexperienced drug mule after his ultralight plane crashes in the desert.
2022;R;Graham Moore;1h 45m;https://www.imdb.com/title/tt14114802/;The Outfit;7.1;65;popularity-dow;https://www.imdb.com/title/tt14114802/mediaviewer/rm655091457/?ref_=tt_ov_i;An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
2021;PG-13;Cary Joji Fukunaga;2h 43m;https://www.imdb.com/title/tt2382320/;No Time to Die;7.3;64;popularity-dow;https://www.imdb.com/title/tt2382320/mediaviewer/rm1714747649/?ref_=tt_ov_i;James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.
2022;Not rated;Divyang Thakkar;2h 1m;https://www.imdb.com/title/tt10393870/;Jayeshbhai Jordaar;7.6;63;popularity-up;https://www.imdb.com/title/tt10393870/mediaviewer/rm2546605313/?ref_=tt_ov_i;A timid Jayesh must defy his patriarchal family as he flees with his wife to save their unborn daughter from foeticide.
2022;Not rated;Olivia Newman;;https://www.imdb.com/title/tt9411972/;Where the Crawdads Sing;;46;popularity-up;https://www.imdb.com/title/tt9411972/mediaviewer/rm2552633345/?ref_=tt_ov_i;A woman who raised herself in the marshes of the deep South becomes a suspect in the murder of a man she was once involved with.
2022;R;Sophie Hyde;1h 37m;https://www.imdb.com/title/tt13352968/;Good Luck to You, Leo Grande;7.1;62;popularity-up;https://www.imdb.com/title/tt13352968/mediaviewer/rm3647935233/?ref_=tt_ov_i;Follows Nancy Stokes, a 55 year-old widow who is yearning for some adventure, human connection and some sex, good sex.
2022;PG-13;Richard Wong;2h 4m;https://www.imdb.com/title/tt4081630/;The Valet;6.7;44;popularity-up;https://www.imdb.com/title/tt4081630/mediaviewer/rm522263809/?ref_=tt_ov_i;A movie star enlists a parking valet at a Beverly Hills restaurant to pose as her lover to cover for her relationship with a married man.
2022;R;Michael Bay;2h 16m;https://www.imdb.com/title/tt4998632/;Ambulance;6.1;45;popularity-dow;https://www.imdb.com/title/tt4998632/mediaviewer/rm2710955009/?ref_=tt_ov_i;Two robbers steal an ambulance after their heist goes awry.
2021;PG-13;Denis Villeneuve;2h 35m;https://www.imdb.com/title/tt1160419/;Dune;8.1;42;popularity-dow;https://www.imdb.com/title/tt1160419/mediaviewer/rm2910452737/?ref_=tt_ov_i;A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
2021;Unrated;Ninja Thyberg;1h 49m;https://www.imdb.com/title/tt8550054/;Pleasure;6.3;43;popularity-up;https://www.imdb.com/title/tt8550054/mediaviewer/rm1708530433/?ref_=tt_ov_i;Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.
2022;PG-13;Baz Luhrmann;2h 39m;https://www.imdb.com/title/tt3704428/;Elvis;;41;popularity-up;https://www.imdb.com/title/tt3704428/mediaviewer/rm4213302273/?ref_=tt_ov_i;A look at the life of the legendary rock and roll star, Elvis Presley.
2009;PG-13;James Cameron;2h 42m;https://www.imdb.com/title/tt0499549/;Avatar;7.8;40;popularity-dow;https://www.imdb.com/title/tt0499549/mediaviewer/rm2864126209/?ref_=tt_ov_i;A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
2011;R;Bruce Robinson;1h 59m;https://www.imdb.com/title/tt0376136/;The Rum Diary;6.1;39;popularity-dow;https://www.imdb.com/title/tt0376136/mediaviewer/rm3607015936/?ref_=tt_ov_i;American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.
2022;TV-MA;Lucie Jourdan;1h 37m;https://www.imdb.com/title/tt19704638/;Our Father;6.6;38;popularity-up;https://www.imdb.com/title/tt19704638/mediaviewer/rm1094262529/?ref_=tt_ov_i;After a woman's at-home DNA test reveals multiple half-siblings, she discovers a shocking scheme involving donor sperm and a popular fertility doctor.
2022;R;Tom Gormican;1h 47m;https://www.imdb.com/title/tt11291274/;The Unbearable Weight of Massive Talent;7.4;37;popularity-dow;https://www.imdb.com/title/tt11291274/mediaviewer/rm289347585/?ref_=tt_ov_i;In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).
1972;R;Francis Ford Coppola;2h 55m;https://www.imdb.com/title/tt0068646/;The Godfather;9.2;33;popularity-dow;https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224/?ref_=tt_ov_i;The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
